序号,系统时间,时间标识,CAN通道,传输方向,ID号,帧类型,帧格式,长度,数据
00668,="10:28:08.083",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00669,="10:28:08.144",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 8D 
00670,="10:28:08.144",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00671,="10:28:08.173",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 8D 
00672,="10:28:08.173",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00673,="10:28:08.235",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 8D 
00674,="10:28:08.235",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00675,="10:28:08.295",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 8D 
00676,="10:28:08.295",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 09 04 08 46 01 
00677,="10:28:08.323",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 BA 
00678,="10:28:08.323",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 09 04 08 46 01 
00679,="10:28:08.386",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 BA 
00680,="10:28:08.386",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 09 04 08 46 01 
00681,="10:28:08.448",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 BA 
00682,="10:28:08.448",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 09 04 08 46 01 
00683,="10:28:08.509",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 BA 
00684,="10:28:08.509",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 0A 04 0C 00 00 
00685,="10:28:08.540",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 78 
00686,="10:28:08.540",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 0A 04 0C 00 00 
00687,="10:28:08.599",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 78 
00688,="10:28:08.599",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 0A 04 F4 FF FF 
00689,="10:28:08.659",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| FF 5D 
00690,="10:28:08.659",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 0A 04 F4 FF FF 
00691,="10:28:08.690",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| FF 5D 
00692,="10:28:08.690",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00693,="10:28:08.749",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 D3 
00694,="10:28:08.749",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00695,="10:28:08.812",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 D3 
00696,="10:28:08.812",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00697,="10:28:08.842",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 D3 
00698,="10:28:08.842",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00699,="10:28:08.902",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 D3 
00700,="10:28:08.902",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00701,="10:28:08.964",无,ch1,发送,0x0540,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00702,="10:28:08.964",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00703,="10:28:08.996",无,ch1,发送,0x0542,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00704,="10:28:08.996",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00705,="10:28:09.054",无,ch1,发送,0x0544,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00706,="10:28:09.054",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00707,="10:28:09.115",无,ch1,发送,0x0546,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00708,="10:28:09.115",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00709,="10:28:09.174",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 8D 
00710,="10:28:09.174",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00711,="10:28:09.236",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 8D 
00712,="10:28:09.236",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00713,="10:28:09.264",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 8D 
00714,="10:28:09.264",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00715,="10:28:09.327",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 8D 
00716,="10:28:09.327",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 09 04 09 46 01 
00717,="10:28:09.387",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 BB 
00718,="10:28:09.387",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 09 04 09 46 01 
00719,="10:28:09.418",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 BB 
00720,="10:28:09.418",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 09 04 09 46 01 
00721,="10:28:09.474",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 BB 
00722,="10:28:09.474",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 09 04 09 46 01 
00723,="10:28:09.536",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 BB 
00724,="10:28:09.536",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 0A 04 00 00 00 
00725,="10:28:09.567",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 6C 
00726,="10:28:09.567",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 0A 04 F4 FF FF 
00727,="10:28:09.627",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| FF 5D 
00728,="10:28:09.627",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 0A 04 F4 FF FF 
00729,="10:28:09.688",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| FF 5D 
00730,="10:28:09.688",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 0A 04 F4 FF FF 
00731,="10:28:09.716",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| FF 5D 
00732,="10:28:09.716",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00733,="10:28:09.780",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 D3 
00734,="10:28:09.780",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00735,="10:28:09.840",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 D3 
00736,="10:28:09.840",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00737,="10:28:09.871",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 D3 
00738,="10:28:09.871",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00739,="10:28:09.931",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 D3 
00740,="10:28:09.931",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00741,="10:28:09.990",无,ch1,发送,0x0540,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00742,="10:28:09.990",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00743,="10:28:10.018",无,ch1,发送,0x0542,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00744,="10:28:10.018",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00745,="10:28:10.081",无,ch1,发送,0x0544,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00746,="10:28:10.081",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00747,="10:28:10.142",无,ch1,发送,0x0546,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00748,="10:28:10.142",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00749,="10:28:10.202",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 8D 
00750,="10:28:10.202",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00751,="10:28:10.262",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 8D 
00752,="10:28:10.262",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00753,="10:28:10.292",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 8D 
00754,="10:28:10.292",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00755,="10:28:10.353",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 8D 
00756,="10:28:10.353",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 09 04 0B 46 01 
00757,="10:28:10.412",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 BD 
00758,="10:28:10.412",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 09 04 0B 46 01 
00759,="10:28:10.443",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 BD 
00760,="10:28:10.443",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 09 04 0B 46 01 
00761,="10:28:10.505",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 BD 
00762,="10:28:10.505",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 09 04 0B 46 01 
00763,="10:28:10.563",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 BD 
00764,="10:28:10.563",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 0A 04 00 00 00 
00765,="10:28:10.596",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 6C 
00766,="10:28:10.596",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 0A 04 F4 FF FF 
00767,="10:28:10.656",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| FF 5D 
00768,="10:28:10.656",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 0A 04 F4 FF FF 
00769,="10:28:10.716",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| FF 5D 
00770,="10:28:10.716",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 0A 04 F4 FF FF 
00771,="10:28:10.748",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| FF 5D 
00772,="10:28:10.748",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00773,="10:28:10.807",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 D3 
00774,="10:28:10.807",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00775,="10:28:10.869",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 D3 
00776,="10:28:10.869",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00777,="10:28:10.899",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 D3 
00778,="10:28:10.929",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00779,="10:28:10.960",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 D3 
00780,="10:28:10.960",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00781,="10:28:11.018",无,ch1,发送,0x0540,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00782,="10:28:11.018",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00783,="10:28:11.081",无,ch1,发送,0x0542,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00784,="10:28:11.081",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00785,="10:28:11.112",无,ch1,发送,0x0544,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00786,="10:28:11.112",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00787,="10:28:11.171",无,ch1,发送,0x0546,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00788,="10:28:11.171",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00789,="10:28:11.234",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 8D 
00790,="10:28:11.234",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00791,="10:28:11.293",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 8D 
00792,="10:28:11.293",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00793,="10:28:11.324",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 8D 
00794,="10:28:11.324",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00795,="10:28:11.384",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 8D 
00796,="10:28:11.384",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 09 04 06 46 01 
00797,="10:28:11.444",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 B8 
00798,="10:28:11.444",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 09 04 06 46 01 
00799,="10:28:11.476",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 B8 
00800,="10:28:11.476",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 09 04 06 46 01 
00801,="10:28:11.537",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 B8 
00802,="10:28:11.537",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 09 04 06 46 01 
00803,="10:28:11.597",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 B8 
00804,="10:28:11.597",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 0A 04 00 00 00 
00805,="10:28:11.627",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 6C 
00806,="10:28:11.627",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 0A 04 0C 00 00 
00807,="10:28:11.685",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 78 
00808,="10:28:11.685",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 0A 04 0C 00 00 
00809,="10:28:11.745",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 78 
00810,="10:28:11.745",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 0A 04 0C 00 00 
00811,="10:28:11.806",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 78 
00812,="10:28:11.806",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00813,="10:28:11.838",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 D3 
00814,="10:28:11.838",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00815,="10:28:11.898",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 D3 
00816,="10:28:11.898",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00817,="10:28:11.959",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 D3 
00818,="10:28:11.959",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00819,="10:28:11.990",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 D3 
00820,="10:28:11.990",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00821,="10:28:11.990",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 D3 
00822,="10:28:11.990",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00823,="10:28:12.049",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 D3 
00824,="10:28:12.049",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00825,="10:28:12.109",无,ch1,发送,0x0540,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00826,="10:28:12.109",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00827,="10:28:12.136",无,ch1,发送,0x0542,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00828,="10:28:12.136",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00829,="10:28:12.201",无,ch1,发送,0x0544,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00830,="10:28:12.201",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00831,="10:28:12.262",无,ch1,发送,0x0546,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00832,="10:28:12.262",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00833,="10:28:12.321",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 8D 
00834,="10:28:12.321",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00835,="10:28:12.349",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 8D 
00836,="10:28:12.349",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00837,="10:28:12.411",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 8D 
00838,="10:28:12.411",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00839,="10:28:12.471",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 8D 
00840,="10:28:12.471",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 09 04 08 46 01 
00841,="10:28:12.501",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 BA 
00842,="10:28:12.501",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 09 04 08 46 01 
00843,="10:28:12.562",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 BA 
00844,="10:28:12.562",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 09 04 08 46 01 
00845,="10:28:12.624",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 BA 
00846,="10:28:12.624",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 09 04 08 46 01 
00847,="10:28:12.684",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 BA 
00848,="10:28:12.684",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 0A 04 0C 00 00 
00849,="10:28:12.714",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 78 
00850,="10:28:12.714",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 0A 04 0C 00 00 
00851,="10:28:12.773",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 78 
00852,="10:28:12.773",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 0A 04 F4 FF FF 
00853,="10:28:12.835",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| FF 5D 
00854,="10:28:12.835",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 0A 04 F4 FF FF 
00855,="10:28:12.866",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| FF 5D 
00856,="10:28:12.866",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00857,="10:28:12.926",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 D3 
00858,="10:28:12.926",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00859,="10:28:12.987",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 D3 
00860,="10:28:12.987",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00861,="10:28:13.017",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 D3 
00862,="10:28:13.017",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00863,="10:28:13.078",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 D3 
00864,="10:28:13.078",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00865,="10:28:13.139",无,ch1,发送,0x0540,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00866,="10:28:13.139",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00867,="10:28:13.169",无,ch1,发送,0x0542,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00868,="10:28:13.169",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00869,="10:28:13.229",无,ch1,发送,0x0544,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00870,="10:28:13.229",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00871,="10:28:13.291",无,ch1,发送,0x0546,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00872,="10:28:13.291",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00873,="10:28:13.351",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 8D 
00874,="10:28:13.351",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00875,="10:28:13.411",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 8D 
00876,="10:28:13.411",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00877,="10:28:13.442",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 8D 
00878,="10:28:13.442",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00879,="10:28:13.503",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 8D 
00880,="10:28:13.503",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 09 04 09 46 01 
00881,="10:28:13.561",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 BB 
00882,="10:28:13.561",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 09 04 09 46 01 
00883,="10:28:13.593",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 BB 
00884,="10:28:13.593",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 09 04 09 46 01 
00885,="10:28:13.653",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 BB 
00886,="10:28:13.653",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 09 04 09 46 01 
00887,="10:28:13.713",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 BB 
00888,="10:28:13.713",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 0A 04 00 00 00 
00889,="10:28:13.744",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 6C 
00890,="10:28:13.744",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 0A 04 F4 FF FF 
00891,="10:28:13.805",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| FF 5D 
00892,="10:28:13.805",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 0A 04 F4 FF FF 
00893,="10:28:13.865",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| FF 5D 
00894,="10:28:13.865",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 0A 04 F4 FF FF 
00895,="10:28:13.895",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| FF 5D 
00896,="10:28:13.895",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00897,="10:28:13.958",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 D3 
00898,="10:28:13.958",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00899,="10:28:14.018",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 D3 
00900,="10:28:14.018",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00901,="10:28:14.048",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 D3 
00902,="10:28:14.048",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00903,="10:28:14.109",无,ch1,发送,0x0546,数据帧,标准帧,0x02,x| 00 D3 
00904,="10:28:14.109",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00905,="10:28:14.167",无,ch1,发送,0x0540,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00906,="10:28:14.167",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00907,="10:28:14.199",无,ch1,发送,0x0542,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00908,="10:28:14.199",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00909,="10:28:14.258",无,ch1,发送,0x0544,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00910,="10:28:14.258",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00911,="10:28:14.320",无,ch1,发送,0x0546,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00912,="10:28:14.320",无,ch1,发送,0x0540,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00913,="10:28:14.378",无,ch1,发送,0x0540,数据帧,标准帧,0x02,x| 00 8D 
00914,="10:28:14.378",无,ch1,发送,0x0542,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00915,="10:28:14.438",无,ch1,发送,0x0542,数据帧,标准帧,0x02,x| 00 8D 
00916,="10:28:14.438",无,ch1,发送,0x0544,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00917,="10:28:14.468",无,ch1,发送,0x0544,数据帧,标准帧,0x02,x| 00 8D 
00918,="10:28:14.468",无,ch1,发送,0x0546,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
